"eszopiclone","0.99 (0.10 to  9.55)","."
"0.99 (0.10 to  9.55)","placebo","0.95 (0.06 to 15.29)"
"0.94 (0.03 to 33.92)","0.95 (0.06 to 15.29)","zolpidem"
